,timestamp,stationId,value,latitude,longitude
0,2024-11-30 10:00:00,S33,0,1.3081,103.71
0,2024-11-30 10:05:00,S33,0,1.3081,103.71
0,2024-11-30 10:00:00,S77,0,1.2937,103.8125
0,2024-11-30 10:05:00,S77,0,1.2937,103.8125
0,2024-11-30 10:00:00,S35,0,1.3329,103.7556
0,2024-11-30 10:05:00,S35,0,1.3329,103.7556
0,2024-11-30 10:00:00,S79,0,1.3004,103.8372
0,2024-11-30 10:05:00,S79,0,1.3004,103.8372
0,2024-11-30 10:00:00,S78,0,1.30703,103.89067
0,2024-11-30 10:05:00,S78,0,1.30703,103.89067
0,2024-11-30 10:00:00,S111,0,1.31055,103.8365
0,2024-11-30 10:05:00,S111,0,1.31055,103.8365
0,2024-11-30 10:00:00,S230,0,1.30167,103.76444
0,2024-11-30 10:05:00,S230,0,1.30167,103.76444
